sample_index,question,relevant_source_row,retrieved_ids,hit_rate@3,mrr@3,precision@3,recall@3,ndcg@3,hit_rate@5,mrr@5,precision@5,recall@5,ndcg@5,hit_rate@10,mrr@10,precision@10,recall@10,ndcg@10
1,How can I log in to my account to purchase an Oven Toaster Grill (OTG) as I'm unable to proceed due to mobile number or email verification?,0,"['qa_0_0', 'retrain_3', 'qa_124_0', 'qa_206_0', 'qa_352_1', 'qa_391_0', 'qa_269_0', 'qa_696_0', 'qa_104_0', 'qa_624_0']",1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0
2,Why can't I log in to my account to purchase a Wet Grinder?,5,"['qa_5_0', 'qa_215_0', 'retrain_3', 'qa_707_0', 'qa_388_2', 'qa_22_0', 'qa_124_0', 'qa_975_0', 'qa_532_0', 'qa_0_0']",1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0
3,Can Lisa get a full refund after the 24-hour window?,18,"['qa_18_2', 'qa_18_3', 'qa_18_4', 'qa_669_2', 'qa_611_4', 'qa_669_0', 'qa_540_3', 'qa_292_0', 'qa_18_1', 'qa_848_2']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,0.4,1.0,1.0
4,What is the estimated delivery time for my coffee maker order?,23,"['qa_23_0', 'qa_279_1', 'qa_421_1', 'qa_449_0', 'qa_231_0', 'qa_944_0', 'qa_574_1', 'qa_501_2', 'qa_359_1', 'qa_472_1']",1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0
5,What is the process to exchange a damaged toy purchased from BrownBox?,37,"['qa_37_0', 'qa_258_0', 'qa_921_0', 'qa_37_1', 'qa_474_0', 'qa_879_0', 'qa_288_0', 'qa_719_0', 'qa_284_0', 'qa_717_0']",1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.2,1.0,1.0
6,I am having trouble with the login process while trying to sign up for a water purifier on the BrownBox website as an international customer without a US phone number to receive the verification code.,38,"['qa_38_0', 'qa_197_0', 'qa_661_1', 'qa_301_0', 'qa_532_0', 'qa_901_0', 'qa_290_0', 'qa_707_0', 'qa_265_2', 'qa_92_0']",1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0
7,Why are there different prices for the same book title on BrownBox's website?,49,"['qa_49_0', 'qa_767_0', 'qa_485_0', 'qa_114_0', 'qa_97_0', 'qa_84_0', 'qa_667_0', 'qa_677_0', 'qa_679_1', 'qa_520_0']",1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0
8,What assistance can you provide with my HP OfficeJet Pro 9015e printer that I bought from BrownBox's website?,67,"['qa_67_0', 'qa_378_1', 'qa_798_0', 'qa_87_0', 'qa_477_0', 'qa_173_0', 'qa_908_0', 'qa_378_0', 'qa_194_0', 'qa_514_0']",1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0
9,Can you help me understand my loyalty points for my recent purchase of baby food?,74,"['qa_74_0', 'qa_549_0', 'qa_736_0', 'qa_318_0', 'qa_686_0', 'qa_967_0', 'qa_736_1', 'qa_801_0', 'qa_320_0', 'qa_709_0']",1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0
10,"I recently purchased a ceiling fan from your website, and it's not working correctly. I want to claim warranty for it.",93,"['qa_93_0', 'qa_952_0', 'qa_963_0', 'qa_942_0', 'qa_469_0', 'qa_852_0', 'qa_895_0', 'qa_762_0', 'qa_742_0', 'qa_897_0']",1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0
11,Can you help me change my password on your website?,113,"['qa_113_0', 'qa_714_0', 'qa_907_0', 'qa_737_0', 'qa_103_0', 'qa_907_1', 'qa_294_0', 'qa_638_0', 'qa_821_0', 'qa_656_3']",1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0
12,Can you explain why the delivery charges for an External Hard Disk are quite high?,139,"['qa_139_0', 'qa_677_0', 'qa_708_0', 'qa_192_0', 'qa_749_0', 'qa_600_0', 'qa_403_0', 'qa_274_0', 'qa_322_0', 'qa_139_1']",1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.2,1.0,1.0
13,Wants to know the reason for not reimbursing courier charges,150,"['qa_150_1', 'qa_538_7', 'qa_40_1', 'qa_802_4', 'qa_802_6', 'qa_802_5', 'qa_393_1', 'qa_405_2', 'qa_222_1', 'qa_321_0']",1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0
14,"I recently purchased a Sandwich Maker from your website, but I lost the warranty card. The product is no longer working, and I need to claim the warranty. Can you help me with that?",174,"['qa_174_0', 'qa_317_0', 'qa_328_0', 'qa_873_0', 'qa_11_0', 'qa_317_1', 'qa_198_0', 'qa_289_0', 'qa_305_1', 'qa_710_0']",1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0
